Sub_County,Neighborhood,sq_mtrs,Bedrooms,Bathrooms,Price
Kiambu Road,Kiambu Road,3.0,3.0,4.0,55000
Kiambu Road,Kiambu Road,3.0,3.0,,55000
Westlands,Mountain View,2.0,2.0,2.0,55000
Westlands,Kitisuru,110.0,2.0,2.0,55000
Nyali,"Nyali links road, Nyali links road, Nyali Area",3.0,3.0,4.0,55000
Westlands,"Mwimuto, New Kitusuru",2.0,2.0,2.0,55000
Langata,"Karenend Apartments, Karinde, Karen",95.0,2.0,2.0,55000
Westlands,"waiyaki, waiyaki, Loresho",2.0,2.0,2.0,55000
Thindigua,Thindigua,3.0,3.0,3.0,55000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",80.0,2.0,2.0,55000
Dagoretti North,Kileleshwa,3.0,3.0,4.0,55000
Dagoretti North,"Statehouse Crescent, Off Statehouse Road, State House",2.0,2.0,,55000
Dagoretti North,Kileleshwa,2.0,2.0,,55000
Nyali,"nyali, nyali road, Mkomani",2.0,2.0,2.0,55000
Langata,Upper Hill,2.0,2.0,1.0,55000
Kabete,"kinoo 87/Uthiru, Kinoo",3.0,3.0,3.0,55000
Kiambu Road,"Thindigua, Kiambu Road",3.0,3.0,2.0,56000
Thindigua,Thindigua,3.0,3.0,4.0,56000
Roysambu,"Thika Road, Kahawa",4.0,4.0,2.0,57750
Dagoretti North,"Kangundo Road, Kileleshwa",2.0,2.0,,58000
Westlands,"Chinga Dam Apartments, Iregi Road, Parklands",3.0,3.0,2.0,58500
Westlands,"Rhapta road, Rhapta Road",2.0,2.0,,59000
Westlands,Loresho,125.0,3.0,3.0,60000
Dagoretti North,Naivasha Road,3.0,3.0,2.0,60000
Dagoretti North,Kilimani,1.0,1.0,1.0,60000
Dagoretti North,"George Pardmore lane, Kilimani",1.0,1.0,1.0,60000
Ngong,Jamhuri,3.0,3.0,2.0,60000
Dagoretti North,Lavington,2.0,2.0,2.0,60000
Dagoretti North,"1, Riara, Kilimani",2.0,2.0,1.0,60000
Dagoretti North,Kileleshwa,2.0,2.0,,60000
Dagoretti North,Riara Road,2.0,2.0,2.0,60000
Dagoretti North,"Riara, Lavington",2.0,2.0,,60000
Dagoretti North,"Kasuku Center, Kileleshwa",3.0,3.0,2.0,60000
Dagoretti North,"kileleshwa, kileleshwa, Kileleshwa",2.0,2.0,2.0,60000
Dagoretti North,"kilimani, kilimani, Kilimani",2.0,2.0,2.0,60000
Dagoretti North,"lavington, lavington, Lavington",2.0,2.0,2.0,60000
Dagoretti North,"Mandera Road, Kileleshwa",51.0,1.0,1.0,60000
Westlands,"Loresho, Loresho",2.0,2.0,2.0,60000
Dagoretti North,Kilimani,2.0,2.0,,60000
